FID,thermo_tecto_age,thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,heat_prod_provinces,thickness_crust,d_2_young_rift,lon,lat,upper_mantle_vel_structure,rock_type,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
208,1.0,13.0010004,12.0,-0.0362,1047.910034,4441.22998,4751.52002,1107.780029,26.54241943,1.00999999,41.0,445.519989,-46.33331299,65.50012207,4.0,2,1.6778512,-92.9944992,-45.2140999,179694.0,47.0467987,499.4100037
209,1.0,13.0,12.0,-0.0339,1003.710022,4479.649902,4705.470215,1061.810059,25.54407883,1.00999999,41.0,479.1099853,-45.33331299,65.50012207,4.0,2,1.62196684,124.3519974,-44.646801,189495.0,40.0612984,362.9110107
210,1.0,13.0,12.0,-0.0246,959.9199829,4517.790039,4659.490234,1015.799988,24.54587555,1.00999999,41.0,514.1900024,-44.33331299,65.50012207,4.0,2,1.57675064,-43.6046982,-43.5485001,207829.0,38.5455017,200.2279968
211,5.0,13.0010004,12.0,-0.0173,916.6099853,4555.629883,4613.580078,969.7600098,23.54782295,0.95999998,39.0,550.4699707,-43.33331299,65.50012207,4.0,2,1.50839376,-70.5895996,-42.4970016,213232.0,44.0670013,564.2420044
505,5.0,13.0010004,12.0,-0.0187,873.8699951,4593.180176,4567.759766,923.710022,22.54994392,0.95999998,38.5999985,587.710022,-42.33331299,65.50012207,4.0,2,1.41689622,-20.0737,-41.6935005,159331.0,55.9831009,429.6400146
506,5.0,13.00300026,12.0,-0.0279,831.75,4630.430176,4522.040039,877.6400147,21.55226135,0.95999998,38.5999985,625.75,-41.33331299,65.50012207,4.0,2,1.35555398,-48.046299,-40.6395988,94974.5,26.1103992,615.9069824
507,5.0,13.00300026,12.0,-0.0343,789.8099976,4618.919922,4476.439941,831.5800171,20.55480385,0.95999998,36.5400009,664.4299927,-40.33331299,65.50012207,4.0,2,1.31717002,13.1444998,-38.6772003,80103.10156,19.5925007,288.2200012
194,5.0,13.00399971,12.0,-0.0203,1381.920044,4111.899902,5070.080078,1414.51001,33.59315491,0.95999998,36.0,185.6600037,-53.33331299,66.50012207,4.0,2,1.89194751,85.4027023,-29.5520992,79808.20313,109.4789963,4.8790102
195,1.0,13.00399971,12.0,-0.0303,1252.25,4228.709961,4936.930176,1281.73999,30.60228729,1.00999999,46.0,240.9700012,-50.33331299,66.50012207,4.0,2,1.86030316,75.6781998,-34.9790001,134085.0,48.8889999,495.8659973
196,1.0,13.00399971,12.0,-0.0254,1209.560059,4267.140137,4892.560059,1237.420044,29.60574341,1.00999999,46.0,270.7000122,-49.33331299,66.50012207,4.0,2,1.85437059,-69.5171967,-35.2392006,154268.0,36.9645996,326.1650085
197,1.0,13.00399971,12.0,-0.0267,1167.199951,4305.310059,4848.209961,1193.089966,28.60943985,1.00999999,45.0,303.5799866,-48.33331299,66.50012207,4.0,2,1.86360192,-91.264801,-35.7845001,156036.0,55.4897003,222.6820068
198,1.0,13.00300026,12.0,-0.0327,1125.170044,4343.220215,4803.899902,1148.75,27.61340332,1.00999999,44.0,338.6799927,-47.33331299,66.50012207,4.0,2,1.84695363,-108.1210022,-35.8246002,153043.0,49.4398003,352.3720093
199,5.0,13.00300026,12.0,-0.0364,1083.23999,4380.859863,4759.629883,1104.420044,26.61766243,0.95999998,44.0,375.3800049,-46.33331299,66.50012207,4.0,2,1.78119266,-51.5886993,-34.9253998,156288.0,67.9685974,182.2489929
200,5.0,13.0010004,12.0,-0.0313,1041.369995,4418.22998,4715.430176,1060.099976,25.62225533,0.95999998,44.0,413.230011,-45.33331299,66.50012207,4.0,2,1.73341632,-99.8358002,-33.8387985,160772.0,66.3532028,94.4599991
201,5.0,13.0010004,12.0,-0.0203,999.3400269,4455.319824,4671.290039,1015.820007,24.62722015,0.95999998,44.0,451.9500122,-44.33331299,66.50012207,4.0,2,1.70362437,-54.6567993,-33.4342003,180867.0,69.4558029,38.1635017
490,5.0,13.00300026,12.0,-0.0267,756.7199707,4564.97998,4408.810059,751.9899902,18.66815376,0.95999998,40.2000008,691.7600098,-38.33331299,66.50012207,6.0,2,1.50443542,-62.737999,-40.0130005,146921.0,31.7723999,1163.050049
492,5.0,13.00500011,12.0,-0.0252,718.25,4523.060059,4365.589844,708.5999756,17.67766953,0.95999998,40.0,730.6599731,-37.33331299,66.50012207,6.0,2,1.45099497,98.8346024,-44.240799,117139.0,46.4832001,1732.310059
